book_id,title,language,place_of_publication,published_year,edition,price,class_number,source,notes,author_id,publisher_id
B00850,စစ်တမ်းနဲ့ နိုင်ငံရေး,Burmese,ရန်ကုန်,၂၀၁၃,၁ ကြိမ်,၁၅၀၀,,ဝယ်ယူ,,A0371,P0057
B00851,ဖ. ဆ. ပ. လ အဖွဲ့ချုပ်နှင့် ဗမာပြည်ကွန်မြူနစ်ပါတီ ၏ ပေးစာ/ ပြန်စာများ,Burmese,ရန်ကုန်,၁၉၄၇,၁ ကြိမ်,,,လက်ဆောင်,,A0372,P0230
B00852,စာနယ်ဇင်းသမားဆိုတာ နှောင်ကြိုးမဲ့နိုင်ငံရေးသမား,Burmese,ရန်ကုန်,၂၀၁၂,၁ ကြိမ်,၁၂၀၀,,ဝယ်ယူ,,A0373,P0159
B00853,မန်းတောင်ရိပ်က လွှတ်တော် မန္တလေးတိုင်းဒေသကြီးလွှတ်တော်အား ကိန်းဂဏန်းအခြေပြုလေ့လာခြင်း (၂၀၂၀၊ ဒီဇင်ဘာလ),Burmese,ရန်ကုန်,၂၀၂၀,၁ ကြိမ်,,,ဝယ်ယူ,ရည်ညွှန်း,A0374,P0231
B00854,မန္တလေးတိုင်းဒေသကြီးမြို့နယ်စည်ပင်သာယာရေးအဖွဲ့များအားလေ့လာသုံးသပ်ခြင်း (၂၀၂၀၊ နိုဝင်ဘာလ),Burmese,ရန်ကုန်,၂၀၂၀,၁ ကြိမ်,,,ဝယ်ယူ,ရည်ညွှန်း,A0374,P0231
B00855,‌ဂျေကေရိုးလင်း,Burmese,ရန်ကုန်,၂၀၁၈,၁ ကြိမ်,၁၅၀၀,,ဝယ်ယူ,,A0375,P0035
B00856,ဖီဒယ်ကက်စထရို,Burmese,ရန်ကုန်,၂၀၁၈,၁ ကြိမ်,၁၅၀၀,,ဝယ်ယူ,,A0376,P0035
B00857,ကန်သာရေရိပ်မှာ,Burmese,ရန်ကုန်,၂၀၁၃,၁ ကြိမ်,၁၅၀၀,,လက်ဆောင်,,A0035,P0031
B00858,၂၀၀၈ခုနှစ် ဖွဲ့စည်းပုံအခြေခံဥပဒေနှင့် ဆန့်ကျင်နေသော ၁၉၈၂ ခုနှစ် မြန်မာနိုင်ငံသား ဥပဒေ နှင့် လက်ရွေးစင်ဆောင်းပါးများ,Burmese,ရန်ကုန်,၂၀၁၄,၁ ကြိမ်,၁၀၀၀,,လက်ဆောင်,,A0377,P0232
B00859,ယနေ့ခေတ်မှာ ဘာတွေပြောခဲ့ကြသလဲ (၂၀၁၃ - ၂၀၁၈),Burmese,ရန်ကုန်,၂၀၁၈,၁ ကြိမ်,၇၅၀၀,,ဝယ်ယူ,,A0005,P0233
B00860,ချစ်ခြင်းအားဖြင့် ကဗျာ နှင့် စာ,Burmese,ရန်ကုန်,၂၀၂၀,၁ ကြိမ်,၃၀၀၀,,ဝယ်ယူ,,A0378,P0234
B00861,နှစ်ဆယ်ရာစု စကားပြေဆရာများ,Burmese,ရန်ကုန်,၂၀၀၇,၁ ကြိမ်,၁၂၀၀,,ဝယ်ယူ,,A0122,P0057
B00862,ပြည်ထောင်စုမြန်မာနိုင်ငံတော်အမျိုးသားညီလာခံ ၂၀၀၄ ခုနှစ် အမျိုးသားညီလာခံကိုယ်စားလှယ်များ၏ ကိုယ်ရေးမှတ်တမ်းအကျဥ်းချုပ်,Burmese,ရန်ကုန်,၂၀၀၄,၁ ကြိမ်,,,လက်ဆောင်,ရည်ညွှန်း,A0379,P0235
B00863,တရုတ်- မြန်မာဆက်ဆံရေးအပေါ် မြန်မာ့မူဝါဒအသိုင်းအဝန်း၏ သဘောထားအမြင်စစ်တမ်း (၂၀၂၃),Burmese,ရန်ကုန်,၂၀၂၄,၁ ကြိမ်,,,,ရည်ညွှန်း,A0380,P0236
B00864,တရုတ်- မြန်မာဆက်ဆံရေးအပေါ် မြန်မာ့မူဝါဒအသိုင်းအဝန်း၏ သဘောထားအမြင်စစ်တမ်း (၂၀၂၃),Burmese,ရန်ကုန်,၂၀၂၄,၁ ကြိမ်,,,,ရည်ညွှန်း,A0380,P0236
B00865,တရုတ်- မြန်မာဆက်ဆံရေးအပေါ် မြန်မာ့မူဝါဒအသိုင်းအဝန်း၏ သဘောထားအမြင်စစ်တမ်း (၂၀၂၄),Burmese,ရန်ကုန်,၂၀၂၅,၁ ကြိမ်,,,,ရည်ညွှန်း,A0380,P0236
B00866,၁၇-၅-၂၀၀၄ ရက်နေ့တွင် ပြန်လည်စတင်ကျင်းပသည့် အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံ အခြေခံဥပဒေ ရေးဆွဲရာတွင် ပါဝင်မည့် ဥပဒေပြုရေး၊ အုပ်ချုပ်ရေးနှင့် တရားစီရင်ရေးဆိုင်ရာအာဏာခွဲဝေမှုအပိုင်းများအတွက် ချမှတ်သင့်သည့် အသေးစိတ် အခြေခံရမည့်မှုများနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်များ,Burmese,ရန်ကုန်,၂၀၀၄,၁ ကြိမ်,,,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00867,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေရေးဆွဲရာတွင် ပါဝင်မည့် နိုင်ငံသား၊ နိုင်ငံသားများ၏ မူလအခွင့်အရေးနှင့် တာဝန်များဆိုင်ရာအခန်းနှင့် တပ်မတော်အခန်းအတွက် ချမှတ်သင့်သည့် အသေးစိတ်အခြေခံရမည့်မူများနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်များ,Burmese,ရန်ကုန်,၂၀၀၆,၁ ကြိမ်,,,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00868,အမျိုးသားညီလာခံ စုံညီအစည်းအဝေးများက ၃၀-၃-၉၆ ရက်နေ့ အထိ ချမှတ်ပြီးစီးခဲ့သည့် အခြေခံမူများနှင့် အသေးစိတ်အခြေခံရမည့်မူများ,Burmese,ရန်ကုန်,၁၉၉၆,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
B00869,အမျိုးသားညီလာခံ၌ နိုင်ငံတော်ဖွဲ့စည်းပုံအခြေခံဥပဒေရေးဆွဲရေးအတွက် အခြေခံမူများ ချမှတ်ရေးနှင့် စပ်လျဥ်း၍ အမျိုးသားညီလာခံကျင်းပရေးလုပ်ငန်းကော်မတီ ဥက္ကဌ ဦးအောင်တိုး၏ ရှင်းလင်းပြောကြားချက်,Burmese,ရန်ကုန်,၁၉၉၃,၁ ကြိမ်,,၃၂၀.၉၅၉၁,လက်ဆောင်,ရည်ညွှန်း,A0381,P0237
